Industry,Tickers
Forest Materials,ABREL
Healthcare,"ABBOTINDIA, AJANTPHARM, AKUMS, APLLTD, ALKEM, APOLLOHOSP, ASTERDM, ASTRAZEN, AUROPHARMA, BIOCON, CAPLIPOINT, CIPLA, CONCORDBIO, DIVISLAB, LALPATHLAB, DRREDDY, EMCURE, ERIS, FORTIS, GLAND, GLAXO, GLENMARK, MEDANTA, GRANULES, INDGN, IPCALAB, JBCHEPHARM, JUBLPHARMA, KIMS, LAURUSLABS, LUPIN, MANKIND, MAXHEALTH, METROPOLIS, NATCOPHARM, NH, PFIZER, PPLPHARMA, POLYMED, RAINBOW, SANOFI, SPARC, SUNPHARMA, SUVENPHAR, SYNGENE, TORNTPHARM, VIJAYA, ZYDUSLIFE"
Information Technology,"AFFLE, BSOFT, MAPMYINDIA, COFORGE, CYIENT, HCLTECH, HAPPSTMNDS, INFY, INTELLECT, KPITTECH, LTTS, LTIM, LATENTVIEW, MASTEK, MPHASIS, NETWEB, NEWGEN, OFSS, PERSISTENT, SONATSOFTW, TANLA, TCS, TATAELXSI, TATATECH, TECHM, WIPRO, ZENSARTECH"
Media Entertainment & Publication,"NETWORK18, PVRINOX, SAREGAMA, SUNTV, ZEEL"
Metals & Mining,"ADANIENT, GMDCLTD, HINDALCO, HINDCOPPER, HINDZINC, JSWSTEEL, JSL, JINDALSTEL, LLOYDSME, NMDC, NSLNISP, NATIONALUM, SAIL, TATASTEEL, VEDL"
Oil Gas & Consumable Fuels,"ATGL, AEGISLOG, BPCL, CASTROLIND, CHENNPETRO, COALINDIA, GAIL, GUJGASLTD, GSPL, HINDPETRO, IOC, IGL, MGL, MRPL, ONGC, OIL, PETRONET, RELIANCE"
Power,"ADANIENSOL, ADANIGREEN, ADANIPOWER, CESC, JSWENERGY, JPPOWER, NHPC, NLCINDIA, NTPC, POWERGRID, SJVN, TATAPOWER, TORNTPOWER"
Realty,"ANANTRAJ, BRIGADE, DLF, GODREJPROP, LODHA, MAHLIFE, OBEROIRLTY, PHOENIXLTD, PRESTIGE, RAYMOND, SIGNATURE, SOBHA, DBREALTY"
Services,"ADANIPORTS, BLUEDART, CONCOR, DELHIVERY, FSL, GMRAIRPORT, GESHIP, GPPL, INDIGO, JSWINFRA, MMTC, QUESS, REDINGTON, SCI, TVSSCS, ECLERX"
Telecommunication,"BHARTIARTL, BHARTIHEXA, HFCL, ITI, INDUSTOWER, RAILTEL, ROUTE, TATACOMM, TTML, TEJASNET, IDEA"
Textiles,"ALOKINDS, KPRMILL, PAGEIND, TRIDENT, VTL, WELSPUNLIV"
